,company_name_ticker,profile,market_cap,div,shares_outstanding,shares_float,prev_close,fifty_two_weeks,beta,net_income,revenue,gross_margin,quick_ratio,current_ratio,debt_equity,op_margin,profit_margin,sales_qonq,roa,roe,roi,eps_ttm,eps_fwd,eps_qonq,book_value_share,cash_share,pe,pe_fwd,peg,ps,pb,pc,pfcf
0,V.F. Corporation(VFC),"V.F. Corporation engages in the design, production, procurement, marketing, and distribution of branded lifestyle apparel, footwear, and related products for men, women, and children in the Americas, Europe, and the Asia-Pacific. It operates through four segments: Outdoor, Active, Work, and Jeans. The company offers outdoor, merino wool and other natural fibers-based, surf-inspired, occupational, lifestyle, sporting, and casual apparel; equipment; accessories; outdoor lifestyle, performance-based, youth culture/action sports-inspired, and protective work footwear; handbags, luggage, backpacks, totes, and travel accessories; work and work-inspired lifestyle apparel and footwear; and denim, as well as uniform programs for business and governmental organizations. It provides its products under the North Face, Timberland, Smartwool, Icebreaker, Altra, Vans Napapijri, Kipling, Eastpak, JanSport, Reef, Eagle Creek, Dickies, Red Kap, Bulwark, Timberland PRO, VF Solutions, Wrangler RIGGS, Walls, Terra, Workrite, Kodiak, Horace Small, Wrangler, Lee, Lee Riders, and Rock & Republic brands. The company sells its products primarily to specialty stores, department stores, national chains, and mass merchants, as well as sells through direct-to-consumer operations, including company operated stores, concession retail stores, and brand e-commerce sites. V.F. Corporation was founded in 1899 and is based in Greenwood Village, Colorado.",22.30B,1.92,402.82M,365.87M,62.72,60.87 - 100.25,1.21,1.34B,12.26B,53.60%,1.30,2.10,0.48,11.90%,10.50%,4.90%,12.10%,29.30%,20.40%,3.34,3.69,7.80%,11.54,1.45,16.56,14.99,1.66,1.82,4.80,38.18,352.23
1,Microsoft Corporation(MSFT),"Microsoft Corporation develops, licenses, and supports software, services, devices, and solutions worldwide. The company's Productivity and Business Processes segment offers Office, Exchange, SharePoint, Microsoft Teams, Office 365 Security and Compliance, and Skype for Business, as well as related Client Access Licenses (CAL); and Skype, Outlook.com, and OneDrive. It also provides LinkedIn that includes Talent and marketing solutions, and subscriptions; and Dynamics 365, a set of cloud-based and on-premises business solutions for small and medium businesses, large organizations, and divisions of enterprises. The company's Intelligent Cloud segment licenses SQL and Windows Servers, Visual Studio, System Center, and related CALs; GitHub that provides a collaboration platform and code hosting service for developers; and Azure, a cloud platform. It also provides support services and Microsoft consulting services to assist customers in developing, deploying, and managing Microsoft server and desktop solutions; and training and certification to developers and IT professionals on various Microsoft products. The company's More Personal Computing segment offers Windows OEM licensing and other non-volume licensing of the Windows operating system; Windows Commercial comprising volume licensing of the Windows operating system, Windows cloud services, and other Windows commercial offerings; patent licensing; Windows Internet of Things; and MSN advertising. It also provides Microsoft Surface, PC accessories, and other intelligent devices; Gaming, including Xbox hardware, and Xbox software and services; video games and third-party video game royalties; and Search, including Bing and Microsoft advertising. The company sells its products through distributors and resellers; and directly through digital marketplaces, online stores, and retail stores. It has strategic partnerships with Humana Inc. and Nokia. The company was founded in 1975 and is headquartered in Redmond, Washington.",1088.46B,2.04,7.83B,7.50B,153.63,112.65 - 190.70,1.09,41.72B,134.25B,67.70%,2.80,2.80,0.71,36.70%,33.00%,13.70%,15.90%,42.90%,19.90%,5.41,6.31,37.20%,14.45,17.15,25.72,22.05,1.73,8.11,9.62,8.11,41.64
